Maker,Maker_Group,Month,Registerations,State 
ALTIER ELECTRIC VEHICLES PVT LTD,Others,OCT,61,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,NOV,76,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,DEC,82,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,JAN,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,FEB,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,MAR,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,APR,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,MAY,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,JUN,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,JUL,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,AUG,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,SEP,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,OCT,1,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,NOV,0,Bihar
ALTIGREEN PROPULSION LABS PVT LTD,Others,DEC,0,Bihar
ALTIUS TECHNOLOGIES,Others,JAN,0,Bihar
ALTIUS TECHNOLOGIES,Others,FEB,2,Bihar
ALTIUS TECHNOLOGIES,Others,MAR,1,Bihar
ALTIUS TECHNOLOGIES,Others,APR,0,Bihar
ALTIUS TECHNOLOGIES,Others,MAY,0,Bihar
ALTIUS TECHNOLOGIES,Others,JUN,1,Bihar
ALTIUS TECHNOLOGIES,Others,JUL,0,Bihar
ALTIUS TECHNOLOGIES,Others,AUG,0,Bihar
ALTIUS TECHNOLOGIES,Others,SEP,0,Bihar
ALTIUS TECHNOLOGIES,Others,OCT,0,Bihar
ALTIUS TECHNOLOGIES,Others,NOV,0,Bihar
ALTIUS TECHNOLOGIES,Others,DEC,0,Bihar
AMAN ELECTRIC VEHICLES,Others,JAN,9,Bihar
AMAN ELECTRIC VEHICLES,Others,FEB,3,Bihar
AMAN ELECTRIC VEHICLES,Others,MAR,2,Bihar
AMAN ELECTRIC VEHICLES,Others,APR,3,Bihar
AMAN ELECTRIC VEHICLES,Others,MAY,3,Bihar
AMAN ELECTRIC VEHICLES,Others,JUN,7,Bihar
AMAN ELECTRIC VEHICLES,Others,JUL,5,Bihar
AMAN ELECTRIC VEHICLES,Others,AUG,4,Bihar
AMAN ELECTRIC VEHICLES,Others,SEP,7,Bihar
AMAN ELECTRIC VEHICLES,Others,OCT,3,Bihar
AMAN ELECTRIC VEHICLES,Others,NOV,10,Bihar
AMAN ELECTRIC VEHICLES,Others,DEC,11,Bihar
AMBIKA ENTERPRISES,Others,JAN,16,Bihar
AMBIKA ENTERPRISES,Others,FEB,9,Bihar
AMBIKA ENTERPRISES,Others,MAR,14,Bihar
AMBIKA ENTERPRISES,Others,APR,4,Bihar
AMBIKA ENTERPRISES,Others,MAY,8,Bihar
AMBIKA ENTERPRISES,Others,JUN,6,Bihar
AMBIKA ENTERPRISES,Others,JUL,14,Bihar
AMBIKA ENTERPRISES,Others,AUG,14,Bihar
AMBIKA ENTERPRISES,Others,SEP,9,Bihar
AMBIKA ENTERPRISES,Others,OCT,2,Bihar
AMBIKA ENTERPRISES,Others,NOV,21,Bihar
AMBIKA ENTERPRISES,Others,DEC,21,Bihar
AMBIKA INDUSTRIES,Others,JAN,6,Bihar
AMBIKA INDUSTRIES,Others,FEB,0,Bihar
AMBIKA INDUSTRIES,Others,MAR,9,Bihar
AMBIKA INDUSTRIES,Others,APR,6,Bihar
AMBIKA INDUSTRIES,Others,MAY,6,Bihar
AMBIKA INDUSTRIES,Others,JUN,2,Bihar
AMBIKA INDUSTRIES,Others,JUL,1,Bihar
AMBIKA INDUSTRIES,Others,AUG,0,Bihar
AMBIKA INDUSTRIES,Others,SEP,0,Bihar
AMBIKA INDUSTRIES,Others,OCT,0,Bihar
AMBIKA INDUSTRIES,Others,NOV,0,Bihar
AMBIKA INDUSTRIES,Others,DEC,0,Bihar
ANJALI TRADERS,Others,JAN,1,Bihar
ANJALI TRADERS,Others,FEB,7,Bihar
ANJALI TRADERS,Others,MAR,0,Bihar
ANJALI TRADERS,Others,APR,1,Bihar
ANJALI TRADERS,Others,MAY,0,Bihar
ANJALI TRADERS,Others,JUN,3,Bihar
ANJALI TRADERS,Others,JUL,2,Bihar
ANJALI TRADERS,Others,AUG,4,Bihar
ANJALI TRADERS,Others,SEP,0,Bihar
ANJALI TRADERS,Others,OCT,0,Bihar
ANJALI TRADERS,Others,NOV,2,Bihar
ANJALI TRADERS,Others,DEC,0,Bihar
A P I MOTORS PVT LTD,Others,JAN,1,Bihar
A P I MOTORS PVT LTD,Others,FEB,5,Bihar
A P I MOTORS PVT LTD,Others,MAR,0,Bihar
A P I MOTORS PVT LTD,Others,APR,0,Bihar
A P I MOTORS PVT LTD,Others,MAY,3,Bihar
A P I MOTORS PVT LTD,Others,JUN,0,Bihar
A P I MOTORS PVT LTD,Others,JUL,2,Bihar
A P I MOTORS PVT LTD,Others,AUG,0,Bihar
A P I MOTORS PVT LTD,Others,SEP,0,Bihar
A P I MOTORS PVT LTD,Others,OCT,3,Bihar
A P I MOTORS PVT LTD,Others,NOV,5,Bihar
A P I MOTORS PVT LTD,Others,DEC,2,Bihar
APSARA ENTERPRISE,Others,JAN,5,Bihar
APSARA ENTERPRISE,Others,FEB,1,Bihar
APSARA ENTERPRISE,Others,MAR,2,Bihar
APSARA ENTERPRISE,Others,APR,1,Bihar
APSARA ENTERPRISE,Others,MAY,3,Bihar
APSARA ENTERPRISE,Others,JUN,2,Bihar
APSARA ENTERPRISE,Others,JUL,4,Bihar
APSARA ENTERPRISE,Others,AUG,3,Bihar
APSARA ENTERPRISE,Others,SEP,5,Bihar
APSARA ENTERPRISE,Others,OCT,1,Bihar
APSARA ENTERPRISE,Others,NOV,9,Bihar
APSARA ENTERPRISE,Others,DEC,11,Bihar
ARCHIT ENTERPRISES,Others,JAN,0,Bihar
ARCHIT ENTERPRISES,Others,FEB,1,Bihar
ARCHIT ENTERPRISES,Others,MAR,1,Bihar
ARCHIT ENTERPRISES,Others,APR,1,Bihar
ARCHIT ENTERPRISES,Others,MAY,3,Bihar
ARCHIT ENTERPRISES,Others,JUN,0,Bihar
ARCHIT ENTERPRISES,Others,JUL,3,Bihar
ARCHIT ENTERPRISES,Others,AUG,3,Bihar
ARCHIT ENTERPRISES,Others,SEP,0,Bihar
ARCHIT ENTERPRISES,Others,OCT,2,Bihar
ARCHIT ENTERPRISES,Others,NOV,2,Bihar
ARCHIT ENTERPRISES,Others,DEC,1,Bihar
ARROW AUTOMOTIVE,Others,JAN,32,Bihar
ARROW AUTOMOTIVE,Others,FEB,29,Bihar
ARROW AUTOMOTIVE,Others,MAR,34,Bihar
ARROW AUTOMOTIVE,Others,APR,27,Bihar
ARROW AUTOMOTIVE,Others,MAY,38,Bihar
ARROW AUTOMOTIVE,Others,JUN,42,Bihar
ARROW AUTOMOTIVE,Others,JUL,43,Bihar
ARROW AUTOMOTIVE,Others,AUG,43,Bihar
ARROW AUTOMOTIVE,Others,SEP,16,Bihar
ARROW AUTOMOTIVE,Others,OCT,55,Bihar
ARROW AUTOMOTIVE,Others,NOV,57,Bihar
ARROW AUTOMOTIVE,Others,DEC,52,Bihar
ASHMA-MOTORS PVT LTD,Others,JAN,19,Bihar
ASHMA-MOTORS PVT LTD,Others,FEB,6,Bihar
ASHMA-MOTORS PVT LTD,Others,MAR,5,Bihar
ASHMA-MOTORS PVT LTD,Others,APR,3,Bihar
ASHMA-MOTORS PVT LTD,Others,MAY,10,Bihar
ASHMA-MOTORS PVT LTD,Others,JUN,6,Bihar
ASHMA-MOTORS PVT LTD,Others,JUL,6,Bihar
ASHMA-MOTORS PVT LTD,Others,AUG,12,Bihar
ASHMA-MOTORS PVT LTD,Others,SEP,5,Bihar
ASHMA-MOTORS PVT LTD,Others,OCT,6,Bihar
ASHMA-MOTORS PVT LTD,Others,NOV,10,Bihar
ASHMA-MOTORS PVT LTD,Others,DEC,9,Bihar
ATUL AUTO LTD,Others,JAN,192,Bihar
ATUL AUTO LTD,Others,FEB,140,Bihar
ATUL AUTO LTD,Others,MAR,165,Bihar
ATUL AUTO LTD,Others,APR,129,Bihar
ATUL AUTO LTD,Others,MAY,137,Bihar
ATUL AUTO LTD,Others,JUN,160,Bihar
ATUL AUTO LTD,Others,JUL,145,Bihar
ATUL AUTO LTD,Others,AUG,151,Bihar
ATUL AUTO LTD,Others,SEP,57,Bihar
ATUL AUTO LTD,Others,OCT,156,Bihar
ATUL AUTO LTD,Others,NOV,143,Bihar
ATUL AUTO LTD,Others,DEC,146,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,JAN,11,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,FEB,24,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,MAR,32,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,APR,11,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,MAY,28,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,JUN,11,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,JUL,19,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,AUG,50,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,SEP,18,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,OCT,55,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,NOV,72,Bihar
ATUL GREENTECH PRIVATE LIMITED,Others,DEC,52,Bihar
ATUT SANGAM,Others,JAN,31,Bihar
ATUT SANGAM,Others,FEB,23,Bihar
ATUT SANGAM,Others,MAR,22,Bihar
ATUT SANGAM,Others,APR,23,Bihar
ATUT SANGAM,Others,MAY,27,Bihar
ATUT SANGAM,Others,JUN,10,Bihar
ATUT SANGAM,Others,JUL,16,Bihar
ATUT SANGAM,Others,AUG,27,Bihar
ATUT SANGAM,Others,SEP,6,Bihar
ATUT SANGAM,Others,OCT,10,Bihar
ATUT SANGAM,Others,NOV,23,Bihar
ATUT SANGAM,Others,DEC,21,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,JAN,4,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,FEB,7,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,MAR,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,APR,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,MAY,1,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,JUN,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,JUL,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,AUG,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,SEP,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,OCT,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,NOV,0,Bihar
AUTOECO GREEN ENERGY PVT LTD,Others,DEC,0,Bihar
AUTOHAUS PRIVATE LIMITED,Others,JAN,1,Bihar
